symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,thresholds_file
BTCUSDT,15m,120 days ago UTC,20,logreg,11462,time,0.2,,direction,0.0,0.5130890052356021,0.5006031363088058,0.37153088630259623,0.4265159301130524,0.5208487780719633,"[[761, 414], [702, 415]]",
BTCUSDT,15m,120 days ago UTC,20,hgb,11462,time,0.2,,direction,0.0,0.4930191972076789,0.4853037230568256,0.6651745747538048,0.5611782477341389,0.5017947008514447,"[[387, 788], [374, 743]]",
BTCUSDT,15m,120 days ago UTC,20,rf,11462,time,0.2,,direction,0.0,0.506108202443281,0.49479528105482307,0.6383169203222918,0.5574667709147771,0.5236396883750167,"[[447, 728], [404, 713]]",
BTCUSDT,15m,120 days ago UTC,20,hgb,11462,time,0.2,,direction,0.0,0.4930191972076789,0.4853037230568256,0.6651745747538048,0.5611782477341389,0.5017947008514447,"[[387, 788], [374, 743]]",
BTCUSDT,15m,120 days ago UTC,20,linsvc,11462,time,0.2,,direction,0.0,0.5117801047120419,0.49873737373737376,0.35362578334825423,0.4138292299633316,0.5211771652793388,"[[778, 397], [722, 395]]",
BTCUSDT,30m,120 days ago UTC,20,logreg,5702,time,0.2,,direction,0.0,0.5482456140350878,0.528125,0.6134301270417423,0.5675902602854744,0.5591901127445392,"[[287, 302], [213, 338]]",
BTCUSDT,30m,120 days ago UTC,20,hgb,5702,time,0.2,,direction,0.0,0.5105263157894737,0.4948453608247423,0.6098003629764065,0.5463414634146342,0.5364717337515675,"[[246, 343], [215, 336]]",
BTCUSDT,30m,120 days ago UTC,20,rf,5702,time,0.2,,direction,0.0,0.5201754385964912,0.5028011204481793,0.6515426497277677,0.5675889328063242,0.549356163666,"[[234, 355], [192, 359]]",
BTCUSDT,30m,120 days ago UTC,20,hgb,5702,time,0.2,,direction,0.0,0.5105263157894737,0.4948453608247423,0.6098003629764065,0.5463414634146342,0.5364717337515675,"[[246, 343], [215, 336]]",
BTCUSDT,30m,120 days ago UTC,20,linsvc,5702,time,0.2,,direction,0.0,0.5456140350877193,0.5246636771300448,0.6370235934664247,0.5754098360655737,0.5586724553905694,"[[271, 318], [200, 351]]",
BTCUSDT,1h,120 days ago UTC,20,logreg,2822,time,0.2,,direction,0.0,0.4875886524822695,0.48663101604278075,0.9963503649635036,0.6538922155688622,0.5157437704505412,"[[2, 288], [1, 273]]",
BTCUSDT,1h,120 days ago UTC,20,hgb,2822,time,0.2,,direction,0.0,0.5212765957446809,0.5053763440860215,0.6861313868613139,0.5820433436532507,0.5361062169645104,"[[106, 184], [86, 188]]",
BTCUSDT,1h,120 days ago UTC,20,rf,2822,time,0.2,,direction,0.0,0.4929078014184397,0.48404255319148937,0.6642335766423357,0.56,0.5065190032720865,"[[96, 194], [92, 182]]",
BTCUSDT,1h,120 days ago UTC,20,hgb,2822,time,0.2,,direction,0.0,0.5212765957446809,0.5053763440860215,0.6861313868613139,0.5820433436532507,0.5359300276868865,"[[106, 184], [86, 188]]",
BTCUSDT,1h,120 days ago UTC,20,linsvc,2822,time,0.2,,direction,0.0,0.4875886524822695,0.4865350089766607,0.9890510948905109,0.6522262334536703,0.5165995469418575,"[[4, 286], [3, 271]]",
BTCUSDT,4h,120 days ago UTC,20,logreg,662,time,0.2,,direction,0.0,0.4393939393939394,0.43859649122807015,0.8333333333333334,0.5747126436781609,0.5141203703703704,"[[8, 64], [10, 50]]",
