symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,cost_roundtrip,r2,mae_bps
BTCUSDT,4h,120 days ago UTC,16,logreg,673,time,0.2,,direction,0.0,0.4925373134328358,0.4925373134328358,1.0,0.66,0.6452762923351159,"[[0, 68], [0, 66]]",0.52,0,,0.0,,0.0,,0.003,,
BTCUSDT,4h,120 days ago UTC,16,sgdlog,673,time,0.2,,direction,0.0,0.5074626865671642,0.0,0.0,0.0,0.37655971479500894,"[[68, 0], [66, 0]]",0.5,0,,0.0,,0.0,,0.003,,
BTCUSDT,4h,120 days ago UTC,16,rf,673,time,0.2,,direction,0.0,0.5,0.49473684210526314,0.7121212121212122,0.5838509316770186,0.5059046345811051,"[[20, 48], [19, 47]]",0.755,0,,0.0,,0.0,,0.003,,
BTCUSDT,4h,120 days ago UTC,16,hgb,673,time,0.2,,direction,0.0,0.47761194029850745,0.4811320754716981,0.7727272727272727,0.5930232558139535,0.5213903743315508,"[[13, 55], [15, 51]]",0.9,45,0.26666666666666666,-0.0009434713817510642,-0.002809448114547614,-0.1194809429747834,-13.110698066845316,0.003,,
BTCUSDT,4h,120 days ago UTC,16,linsvc,673,time,0.2,,direction,0.0,0.5074626865671642,0.0,0.0,0.0,0.35583778966131907,"[[68, 0], [66, 0]]",0.5,0,,0.0,,0.0,,0.003,,
BTCUSDT,4h,120 days ago UTC,16,bilstm,658,time,0.2,,direction,0.0,0.5648854961832062,0.6666666666666666,0.24615384615384617,0.3595505617977528,0.6172494172494173,"[[58, 8], [49, 16]]",0.81,0,,0.0,,0.0,,0.003,,
BTCUSDT,4h,120 days ago UTC,16,gru_lstm,658,time,0.2,,direction,0.0,0.5114503816793893,0.5263157894736842,0.15384615384615385,0.23809523809523808,0.4972027972027972,"[[57, 9], [55, 10]]",0.765,1,1.0,7.3342911229778e-06,0.0009607921371100918,0.0009607921371102002,4.088710952355082,0.003,,
BTCUSDT,4h,120 days ago UTC,16,hybrid_transformer,658,time,0.2,,direction,0.0,0.4961832061068702,0.4909090909090909,0.4153846153846154,0.45,0.514918414918415,"[[38, 28], [38, 27]]",0.81,1,1.0,1.1718676386330173e-05,0.0015351466066092527,0.001535146606609361,4.088710952355083,0.003,,
BTCUSDT,4h,120 days ago UTC,16,voting_soft,673,time,0.2,,direction,0.0,0.4925373134328358,0.49038461538461536,0.7727272727272727,0.6,0.516934046345811,"[[15, 53], [15, 51]]",0.725,3,0.6666666666666666,9.846018124380449e-05,0.004397888095556601,0.013186567003215854,3.8868159802312836,0.003,,
BTCUSDT,4h,120 days ago UTC,16,stacking,673,time,0.2,,direction,0.0,0.44776119402985076,0.45348837209302323,0.5909090909090909,0.5131578947368421,0.4710338680926916,"[[21, 47], [27, 39]]",0.58,4,0.5,2.073895343387446e-05,0.0006947549400347945,0.0027458607521990697,1.3014718465852704,0.003,,
