symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,deflated_sharpe,sortino_like,cost_roundtrip,r2,mae_bps,rmse_bps,mape_pct
BTCUSDT,4h,120 days ago UTC,16,linreg,673,time,0.2,,return_bps,0.0,,,,,,[],46.0,3,,36.170756405591,,108.51226921677299,2.2935428217248046,0.9247627107442389,,0.0023,-0.3703824816814896,67.7274768957076,91.38353132944259,267.65504119490174
BTCUSDT,4h,120 days ago UTC,16,linreg,673,time,0.2,,return_bps,0.0,,,,,,[],46.0,3,,36.170756405591,,108.51226921677299,2.2935428217248046,0.9247627107442389,,0.0023,-0.3704162092320076,67.7299392725337,91.38500819580287,267.5373941783311
BTCUSDT,4h,120 days ago UTC,16,rf_reg,673,time,0.2,,return_bps,0.0,,,,,,[],26.0,24,,-1.9743971153374582,,-47.385530768098995,-0.04586910322538121,0.019647532439738102,-0.1269129785245653,0.0023,-0.5617037465977914,78.42047209992135,97.55169847988057,396.18648615529276
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],59.0,5,,-23.30135820970756,,-116.50679104853779,-2.202826067417161,0.0,-2.202826067417161,0.0023,-0.19723678013058832,64.57282017227362,85.41885951350108,264.3815845307179
BTCUSDT,4h,120 days ago UTC,16,svr,673,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.0001394460886441351,54.8239915858082,78.07542697624126,97.3847966469295
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],59.0,5,,-23.30135820970756,,-116.50679104853779,-2.202826067417161,0.0,-2.202826067417161,0.0023,-0.1971270372061642,64.60753968552135,85.42203326446509,264.4952044376224
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],59.0,5,,-23.30135820970756,,-116.50679104853779,-2.202826067417161,0.0,-2.202826067417161,0.0023,-0.1970620832363188,64.62673974482576,85.42460028900952,264.53496915723014
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],59.0,5,,-23.30135820970756,,-116.50679104853779,-2.202826067417161,0.0,-2.202826067417161,0.0023,-0.19731298389087337,64.54662825877098,85.41771660192425,264.2176626990673
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],59.0,5,,-23.30135820970756,,-116.50679104853779,-2.202826067417161,0.0,-2.202826067417161,0.0023,-0.19732732259358676,64.54147022731422,85.41761836173998,264.16895181370165
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],59.0,5,,-23.30135820970756,,-116.50679104853779,-2.202826067417161,0.0,-2.202826067417161,0.0023,-0.19733946800983726,64.53703794902731,85.41756728587454,264.120072674457
BTCUSDT,4h,120 days ago UTC,16,hgb_reg,673,time,0.2,,return_bps,0.0,,,,,,[],59.0,5,,-23.30135820970756,,-116.50679104853779,-2.202826067417161,0.0,-2.202826067417161,0.0023,-0.19733499456329318,64.53867737359833,85.41758258654667,264.1390108939256
BTCUSDT,4h,120 days ago UTC,16,arima,673,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.0005046619840716193,54.7454269557744,78.08000722834875,98.05952283218508
BTCUSDT,8h,120 days ago UTC,16,linreg,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,1,,-101.25769503586044,,-101.25769503586044,-101257695035.86043,,-101257695035.86043,0.0023,-0.8512766629285995,133.14882617159708,164.88970302206374,578.7652327770924
BTCUSDT,8h,120 days ago UTC,16,linreg,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,1,,-101.25769503586044,,-101.25769503586044,-101257695035.86043,,-101257695035.86043,0.0023,-0.8502363475990122,133.0767002697432,164.83904659967305,587.8377258152265
BTCUSDT,8h,120 days ago UTC,16,rf_reg,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,8,,9.378050103828993,,75.02440083063195,0.13946319983384586,0.07753971191327041,0.5511305686476339,0.0023,-0.3154820628587891,110.1772648561687,138.9913561920769,443.3468112306722
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],1.0,12,,30.842985729438684,,370.1158287532642,0.4523522117691782,0.1837556144880354,1.8125849271071843,0.0023,-0.137733012138737,98.4388033864539,129.26071696146445,411.79248786404787
BTCUSDT,8h,120 days ago UTC,16,svr,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.0014043631313012117,86.82851247410447,121.26947088335638,128.8040404892361
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],1.0,12,,30.842985729438684,,370.1158287532642,0.4523522117691782,0.1837556144880354,1.8125849271071843,0.0023,-0.13774091058807314,98.44264076453311,129.26127309513456,411.70927461716803
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],1.0,12,,30.842985729438684,,370.1158287532642,0.4523522117691782,0.1837556144880354,1.8125849271071843,0.0023,-0.13776643489147555,98.45509123574632,129.26312610218585,411.4726908850527
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],1.0,12,,30.842985729438684,,370.1158287532642,0.4523522117691782,0.1837556144880354,1.8125849271071843,0.0023,-0.13767291961879757,98.40984098547648,129.2567473276492,412.65896729948554
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],1.0,12,,30.842985729438684,,370.1158287532642,0.4523522117691782,0.1837556144880354,1.8125849271071843,0.0023,-0.13768259479282796,98.41447665023638,129.25735566165028,412.4832188798084
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],1.0,12,,30.842985729438684,,370.1158287532642,0.4523522117691782,0.1837556144880354,1.8125849271071843,0.0023,-0.13768755549204847,98.41685750524901,129.257672104393,412.39973525598526
BTCUSDT,8h,120 days ago UTC,16,hgb_reg,313,time,0.2,,return_bps,0.0,,,,,,[],1.0,12,,30.842985729438684,,370.1158287532642,0.4523522117691782,0.1837556144880354,1.8125849271071843,0.0023,-0.13744725063754104,98.30450915871083,129.245702226011,421.72952584887975
BTCUSDT,8h,120 days ago UTC,16,arima,313,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.000135475032128074,86.96849682858253,121.19514262890658,112.12099501152059
BTCUSDT,1d,120 days ago UTC,16,linreg,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-26.151897207988874,1288.1725058512918,1432.5480275258299,13474.369147112378
BTCUSDT,1d,120 days ago UTC,16,linreg,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-26.150927998786543,1288.1581787061277,1432.5257738476944,12035.191245395887
BTCUSDT,1d,120 days ago UTC,16,rf_reg,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.04763295563868608,234.84492367029247,281.39977127956166,447.6275691735424
BTCUSDT,1d,120 days ago UTC,16,hgb_reg,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,0.08801218830843616,214.26420652014122,262.5423376621072,2168.220722961036
BTCUSDT,1d,120 days ago UTC,16,svr,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,-0.0009781377136333091,198.87441792945086,275.05836701923283,104.77462360931979
BTCUSDT,1d,120 days ago UTC,16,hgb_reg,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,0.08876782425068908,214.07559678661372,262.4417440547229,475.5724536720046
BTCUSDT,1d,120 days ago UTC,16,hgb_reg,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,0.08952256635480316,213.88667694171892,262.34284947266394,328.3095176896246
BTCUSDT,1d,120 days ago UTC,16,hgb_reg,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,0.090329414097578,213.6841121966677,262.2388875173838,270.75868710787734
BTCUSDT,1d,120 days ago UTC,16,hgb_reg,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,0.09032990741730251,213.68398815212086,262.2388245127203,270.73503844639356
BTCUSDT,1d,120 days ago UTC,16,hgb_reg,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,0.0911216904733223,213.48458654301496,262.13858735656794,242.02052036674542
BTCUSDT,1d,120 days ago UTC,16,hgb_reg,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,0.09295860461509386,213.01954353677053,261.91292438709456,209.79995263069776
BTCUSDT,1d,120 days ago UTC,16,arima,73,time,0.2,,return_bps,0.0,,,,,,[],0.0,0,,,,0.0,,,,0.0023,0.0024127241577517333,199.487116439293,274.6898672613121,97.1791700614013
BTCUSDT,4h,365 days ago UTC,16,linreg,2046,time,0.2,,return_bps,0.0,,,,,,[],55.0,10,,9.856626792579615,,98.56626792579615,0.14547111683337777,0.3368594482254941,0.42980519984693955,0.0023,-0.27046501521630484,58.595642476831244,77.67609897247358,791.3592445250441
BTCUSDT,4h,365 days ago UTC,16,linreg,2046,time,0.2,,return_bps,0.0,,,,,,[],55.0,10,,9.856626792579615,,98.56626792579615,0.14547111683337777,0.3368594482254941,0.42980519984693955,0.0023,-0.27046305084141187,58.596313348561544,77.67620561865802,791.3600264364088
BTCUSDT,4h,365 days ago UTC,16,rf_reg,2046,time,0.2,,return_bps,0.0,,,,,,[],43.0,7,,-25.588404534521317,,-179.11883174164922,-0.24859513343464093,0.11874888539514866,-0.48380958918431466,0.0023,-0.46510705744104586,60.6562250624401,83.41477038467112,391.507660141049
BTCUSDT,4h,365 days ago UTC,16,hgb_reg,2046,time,0.2,,return_bps,0.0,,,,,,[],54.0,9,,-25.079530014393626,,-225.71577012954262,-0.25838902539235037,0.09697716926755784,-0.4761859786236337,0.0023,-0.2655131658225329,56.36588795752209,77.52496825869162,290.98511595436105
