symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,cost_roundtrip
ETHUSDT,1h,365 days ago UTC,16,logreg,8713,time,0.2,,ret_gt_bps,30.0,0.7135476463834672,0.5,0.002004008016032064,0.003992015968063872,0.5736170651842705,"[[1242, 1], [498, 1]]",0.5,2,0.5,-3.4733148794101216e-06,-0.003025257259966216,-0.006059215467520529,-1.8460374927619552,0.003
ETHUSDT,1h,365 days ago UTC,16,rf,8713,time,0.2,,ret_gt_bps,30.0,0.6934557979334098,0.36,0.09018036072144289,0.14423076923076922,0.527233066293488,"[[1163, 80], [454, 45]]",0.605,5,0.6,9.705968084539623e-06,0.0033815592806536038,0.016819851865753632,1.7691335492744533,0.003
ETHUSDT,1h,365 days ago UTC,16,hgb,8713,time,0.2,,ret_gt_bps,30.0,0.7106773823191733,0.44680851063829785,0.04208416833667335,0.07692307692307693,0.5216603762633876,"[[1217, 26], [478, 21]]",0.6,7,0.42857142857142855,-3.509466510626159e-06,-0.0008733558087872527,-0.006165190585807889,-1.152553211572557,0.003
ETHUSDT,1h,365 days ago UTC,16,linsvc,8713,time,0.2,,ret_gt_bps,30.0,0.7112514351320322,0.4375,0.028056112224448898,0.05273069679849341,0.5741055723675832,"[[1225, 18], [485, 14]]",0.57,8,0.5,2.6504475129847855e-07,5.77134945952437e-05,5.611649155179421e-05,0.03635272174795766,0.003
ETHUSDT,1h,365 days ago UTC,16,voting_soft,8713,time,0.2,,ret_gt_bps,30.0,0.7141216991963261,0.5555555555555556,0.01002004008016032,0.01968503937007874,0.5407758396922566,"[[1239, 4], [494, 5]]",0.5,9,0.5555555555555556,1.9080748441516344e-06,0.00036931848650134967,0.002975083620311514,0.2800995545419211,0.003
ETHUSDT,1h,365 days ago UTC,16,stacking,8713,time,0.2,,ret_gt_bps,30.0,0.7135476463834672,0.0,0.0,0.0,0.5522775236716393,"[[1243, 0], [499, 0]]",0.5,0,,0.0,,0.0,,0.003
ETHUSDT,1h,365 days ago UTC,16,metalabel,8713,time,0.2,,ret_gt_bps,30.0,0.7095292766934558,0.4222222222222222,0.03807615230460922,0.06985294117647059,0.5216523150887454,"[[1217, 26], [480, 19]]",0.595,7,0.42857142857142855,-3.509466510626159e-06,-0.0008733558087872527,-0.006165190585807889,-1.152553211572557,0.003
ETHUSDT,4h,365 days ago UTC,16,logreg,2143,time,0.2,,ret_gt_bps,30.0,0.6004672897196262,0.0,0.0,0.0,0.5171911620815983,"[[257, 0], [171, 0]]",0.5,0,,0.0,,0.0,,0.003
ETHUSDT,4h,365 days ago UTC,16,rf,2143,time,0.2,,ret_gt_bps,30.0,0.6051401869158879,0.5625,0.05263157894736842,0.0962566844919786,0.5020479213598197,"[[250, 7], [162, 9]]",0.54,4,1.0,9.123625631161915e-05,0.009762279425343249,0.03955125278271332,3.863512420571761,0.003
ETHUSDT,4h,365 days ago UTC,16,hgb,2143,time,0.2,,ret_gt_bps,30.0,0.5981308411214953,0.47368421052631576,0.05263157894736842,0.09473684210526316,0.4865861150931804,"[[247, 10], [162, 9]]",0.73,2,1.0,9.25148070957889e-05,0.019798168718498824,0.03998108896812713,3.1735448805725444,0.003
